Name_ENG;Name_AR;CR;Category;Website;Instagram;Twitter;Email;Phone Number;Activity;Rating;Num_Ratings
SpeshBox;سبيش بوكس;;أثاث وديكور;https://speshbox.com/;https://instagram.com/speshboxstore;;Speshboxstore@gmail.com;555069413;Active;0;0
;متجر بيع عملات رقميه بيتكوين;;تسويق إلكتروني;https://t.me/xn_nw;;;Moodplm11@gmail.com;531303375;Active;0;0
;شحن شدات هاكات هكر ببجي;;تسويق إلكتروني;https://t.me/PO_jo;;;Moodplm11@gmail.com;591203743;Active;2;1
;تنسيق سهرات من المملكه العربيه;;أخرى;https://t.me/joinchat/AiTNGewGOzI2ZGEy;;;G7beh@gmail.com;590784921;Not Active;0;0
Business Hub;شركة ملتقى الأعمال الإبداعية للإستثمار;4650545298;خدمات أكاديمية;https://businesshub.com.sa/;;;info@businesshub.com.sa;508313518;Active;0;0
;بيع حسابات سناب دعم اعلانات سناب;;تسويق إلكتروني;https://t.me/NP_FP;;;Moodplm11@gmail.com;597213210;Active;0;0
Visioner Vibes;فجنر فايبز;2051236409;الحرف والصناعات اليدوية;http://visionervibes.com/;;;khalloodz1@icloud.com;508320879;Active;0;0
For sell account snap;بيع حسابات سناب دعم اعلانات;;تسويق إلكتروني;https://t.me/VR_R7;;;Moodplm11@gmail.com;590784921;Active;0;0
;بيع اعمال وادوات فنية;;الحرف والصناعات اليدوية;https://salla.sa/noufiana/;;;noufiana@gmail.com;509284374;Active;0;0
;أسعد أباحسين لخدمات القبول الدراسي في الخارج;;خدمات أكاديمية;https://twitter.com/AS3D81;;https://twitter.com/AS3D81;tuwaigsa@gmail.com;506812470;Active;0;0
;متجر رامي بيع حسابات بوبجي;;تسويق إلكتروني;https://t.me/TX_XW;;;ghaithhafz@gmail.com;508127030;Active;0;0
M H Store for decoration ;متجر ام اتش ;2055126943;أثاث وديكور;https://salla.sa/tanaka-sa;;;mmth.usa@gmail.com;505359055;Active;0;0
Scientific aouj;أوج العلمية;4030397419;خدمات أكاديمية;https://aoujco.com/;;;esraa.hamdan@gmail.com;567927551;Active;0;0
Atheer Alwabel for Translation and Content Writing;أثير الوابل للترجمة وكتابة المحتوى;;أخرى;Http://atheeralwabel.com;;;alwabel.atheer@gmail.com;569186844;Active;0;0
MyJooy Store;متجر ماي جوي;;إلكترونيات واكسسورات;https://myjooy.com;;;myjooy@hotmail.com;571831272;Active;0;0
Carfix;كارفكس;;السيارات;https://salla.sa/carfix1;;;M7md4dx@gmail.com;503088826;Active;0;0
shop selling products;متجر لبيع المنتجات ;;تسويق إلكتروني;https://ain.com;;;ain.astore2021@gmail.com;557452635;Active;0;0
DisneyRA;متجر ديزني نيفر لاند;;أخرى;https://salla.sa/disney_ra;https://instagram.com/disney_ra;;disney_ra@outlook.sa;593260304;Active;0;0
LuxCups;اكواب الفخامة;;الحرف والصناعات اليدوية;https://lux-cups.com/;https://instagram.com/luxcups_;;luxcups1@gmail.com;558743446;Active;0;0
luxulry;التجارة الالكترونية والمبيعات ;;إلكترونيات واكسسورات;https://salla.sa/www.cladii.com;;;cawd.2030@gmail.com;509905412;Active;0;0
Rodi beauty;رودي شوب;;أخرى;https://salla.sa/rodi7;;;P3mxxx@gmail.com;592491257;Active;0;0
Farir;فرير;;تسويق إلكتروني;https://maroof.sa/addbusiness/AddBusinessWizar;;;abomurad2020@hotmail.com;545022144;Active;0;0
